;ImageId;part;iou;dice
0;000e6378b.jpg;0;2.8571427890256018e-08;2.8571427890256018e-08
1;000e6378b.jpg;1;1.0;1.0
2;000e6378b.jpg;2;1.0;1.0
3;000e6378b.jpg;3;1.0;1.0
4;000e6378b.jpg;4;2.7777777855675367e-09;2.7777777855675367e-09
5;000e6378b.jpg;5;1.0;1.0
6;000e6378b.jpg;6;1.0;1.0
7;000e6378b.jpg;7;1.0;1.0
8;000e6378b.jpg;8;1.0;1.0
9;00113a75c.jpg;0;0.9242424368858337;0.960629940032959
10;00113a75c.jpg;1;0.8379446864128113;0.9118279814720154
11;00113a75c.jpg;2;0.8071979284286499;0.8933143615722656
12;00113a75c.jpg;3;0.8438751101493835;0.9153278470039368
13;00113a75c.jpg;4;1.0;1.0
14;00113a75c.jpg;5;1.0;1.0
15;00113a75c.jpg;6;1.0;1.0
16;00113a75c.jpg;7;1.0;1.0
17;00113a75c.jpg;8;1.0;1.0
18;00371aa92.jpg;0;1.0;1.0
19;00371aa92.jpg;1;1.0;1.0
20;00371aa92.jpg;2;1.0;1.0
21;00371aa92.jpg;3;1.0;1.0
22;00371aa92.jpg;4;1.0;1.0
23;00371aa92.jpg;5;1.0;1.0
24;00371aa92.jpg;6;1.0;1.0
25;00371aa92.jpg;7;0.46666666865348816;0.6363636255264282
26;00371aa92.jpg;8;1.0;1.0
27;004141855.jpg;0;1.0;1.0
28;004141855.jpg;1;1.0;1.0
29;004141855.jpg;2;0.8359504342079163;0.9106459617614746
30;004141855.jpg;3;1.0;1.0
31;004141855.jpg;4;1.0;1.0
32;004141855.jpg;5;1.0;1.0
33;004141855.jpg;6;1.0;1.0
34;004141855.jpg;7;1.0;1.0
35;004141855.jpg;8;1.0;1.0
36;004f97cfb.jpg;0;1.0;1.0
37;004f97cfb.jpg;1;1.0;1.0
38;004f97cfb.jpg;2;0.6392405033111572;0.7799227833747864
39;004f97cfb.jpg;3;1.0;1.0
40;004f97cfb.jpg;4;1.0;1.0
41;004f97cfb.jpg;5;1.0;1.0
42;004f97cfb.jpg;6;2.275468181933693e-11;2.275468181933693e-11
43;004f97cfb.jpg;7;2.275468181933693e-11;2.275468181933693e-11
44;004f97cfb.jpg;8;2.275468181933693e-11;2.275468181933693e-11
45;006da0c7b.jpg;0;1.0;1.0
46;006da0c7b.jpg;1;1.0;1.0
47;006da0c7b.jpg;2;1.0;1.0
48;006da0c7b.jpg;3;1.0;1.0
49;006da0c7b.jpg;4;1.0;1.0
50;006da0c7b.jpg;5;1.0;1.0
51;006da0c7b.jpg;6;1.0;1.0
52;006da0c7b.jpg;7;0.5222222208976746;0.6861313581466675
53;006da0c7b.jpg;8;1.0;1.0
54;007534159.jpg;0;0.7367256879806519;0.8484076261520386
55;007534159.jpg;1;0.8640879988670349;0.927089273929596
56;007534159.jpg;2;1.0;1.0
57;007534159.jpg;3;1.0;1.0
58;007534159.jpg;4;1.0;1.0
59;007534159.jpg;5;1.0;1.0
60;007534159.jpg;6;1.0;1.0
61;007534159.jpg;7;1.0;1.0
62;007534159.jpg;8;1.0;1.0
63;008bc8983.jpg;0;1.0;1.0
64;008bc8983.jpg;1;1.0;1.0
65;008bc8983.jpg;2;1.0;1.0
66;008bc8983.jpg;3;7.142856617292637e-08;7.142856617292637e-08
67;008bc8983.jpg;4;1.8518518274390772e-08;1.8518518274390772e-08
68;008bc8983.jpg;5;1.0;1.0
69;008bc8983.jpg;6;1.0;1.0
70;008bc8983.jpg;7;1.0;1.0
71;008bc8983.jpg;8;1.0;1.0
72;00c2c8539.jpg;0;1.0;1.0
73;00c2c8539.jpg;1;1.0;1.0
74;00c2c8539.jpg;2;1.0;1.0
75;00c2c8539.jpg;3;1.0;1.0
76;00c2c8539.jpg;4;1.0;1.0
77;00c2c8539.jpg;5;0.5491329431533813;0.7089552283287048
78;00c2c8539.jpg;6;1.0;1.0
79;00c2c8539.jpg;7;1.0;1.0
80;00c2c8539.jpg;8;1.0;1.0
81;00c498ef4.jpg;0;7.173601157539622e-10;7.173601157539622e-10
82;00c498ef4.jpg;1;1.0;1.0
83;00c498ef4.jpg;2;1.0;1.0
84;00c498ef4.jpg;3;1.0;1.0
85;00c498ef4.jpg;4;0.8816224932670593;0.9370875358581543
86;00c498ef4.jpg;5;0.7729918360710144;0.8719632029533386
87;00c498ef4.jpg;6;1.0;1.0
88;00c498ef4.jpg;7;1.0;1.0
89;00c498ef4.jpg;8;1.0;1.0
90;00ef28664.jpg;0;1.0;1.0
91;00ef28664.jpg;1;0.7346938848495483;0.8470588326454163
92;00ef28664.jpg;2;1.0;1.0
93;00ef28664.jpg;3;1.0;1.0
94;00ef28664.jpg;4;1.0;1.0
95;00ef28664.jpg;5;1.0;1.0
96;00ef28664.jpg;6;1.0;1.0
97;00ef28664.jpg;7;1.0;1.0
98;00ef28664.jpg;8;1.0;1.0
99;00f89a059.jpg;0;1.0;1.0
100;00f89a059.jpg;1;1.0;1.0
101;00f89a059.jpg;2;1.0;1.0
102;00f89a059.jpg;3;1.0;1.0
103;00f89a059.jpg;4;1.0;1.0
104;00f89a059.jpg;5;1.0;1.0
105;00f89a059.jpg;6;0.4035087823867798;0.574999988079071
106;00f89a059.jpg;7;1.0;1.0
107;00f89a059.jpg;8;1.0;1.0
108;01109440b.jpg;0;1.0;1.0
109;01109440b.jpg;1;1.0;1.0
110;01109440b.jpg;2;1.0;1.0
111;01109440b.jpg;3;1.0;1.0
112;01109440b.jpg;4;1.639344304749102e-08;1.639344304749102e-08
113;01109440b.jpg;5;0.6052632331848145;0.7540983557701111
114;01109440b.jpg;6;1.0;1.0
115;01109440b.jpg;7;1.0;1.0
116;01109440b.jpg;8;1.0;1.0
117;01530ba04.jpg;0;1.0;1.0
118;01530ba04.jpg;1;1.0;1.0
119;01530ba04.jpg;2;1.0;1.0
120;01530ba04.jpg;3;1.0;1.0
121;01530ba04.jpg;4;1.0;1.0
122;01530ba04.jpg;5;1.0;1.0
123;01530ba04.jpg;6;0.8174518346786499;0.8995581865310669
124;01530ba04.jpg;7;2.7855153739153593e-09;2.7855153739153593e-09
125;01530ba04.jpg;8;1.0;1.0
126;015b2962a.jpg;0;1.0;1.0
127;015b2962a.jpg;1;1.0;1.0
128;015b2962a.jpg;2;1.0;1.0
129;015b2962a.jpg;3;1.0;1.0
130;015b2962a.jpg;4;0.3173483908176422;0.4817987084388733
131;015b2962a.jpg;5;0.8893253803253174;0.9414210915565491
132;015b2962a.jpg;6;0.8456853032112122;0.9163916110992432
133;015b2962a.jpg;7;4.761904293104635e-08;4.761904293104635e-08
134;015b2962a.jpg;8;1.0;1.0
135;015e56b00.jpg;0;0.8701716661453247;0.9305794835090637
136;015e56b00.jpg;1;0.7108433842658997;0.8309859037399292
137;015e56b00.jpg;2;1.0;1.0
138;015e56b00.jpg;3;1.0;1.0
139;015e56b00.jpg;4;1.0;1.0
140;015e56b00.jpg;5;1.0;1.0
141;015e56b00.jpg;6;1.0;1.0
142;015e56b00.jpg;7;9.090908292819222e-08;9.090908292819222e-08
143;015e56b00.jpg;8;1.0;1.0
144;01920b170.jpg;0;1.0;1.0
145;01920b170.jpg;1;3.3333321880490985e-07;3.3333321880490985e-07
146;01920b170.jpg;2;1.0;1.0
147;01920b170.jpg;3;0.6551724076271057;0.7916666865348816
148;01920b170.jpg;4;1.0;1.0
149;01920b170.jpg;5;1.0;1.0
150;01920b170.jpg;6;1.0;1.0
151;01920b170.jpg;7;1.0;1.0
152;01920b170.jpg;8;1.0;1.0
153;01acf3a1a.jpg;0;1.0;1.0
154;01acf3a1a.jpg;1;1.0;1.0
155;01acf3a1a.jpg;2;1.0;1.0
156;01acf3a1a.jpg;3;1.0;1.0
157;01acf3a1a.jpg;4;1.0;1.0
158;01acf3a1a.jpg;5;1.0;1.0
159;01acf3a1a.jpg;6;1.0;1.0
160;01acf3a1a.jpg;7;0.8129032254219055;0.8967971801757812
161;01acf3a1a.jpg;8;1.0;1.0
162;01bb07c7d.jpg;0;1.0;1.0
163;01bb07c7d.jpg;1;1.0;1.0
164;01bb07c7d.jpg;2;1.0;1.0
165;01bb07c7d.jpg;3;1.0;1.0
166;01bb07c7d.jpg;4;1.0;1.0
167;01bb07c7d.jpg;5;1.0;1.0
168;01bb07c7d.jpg;6;0.8133720755577087;0.8970823884010315
169;01bb07c7d.jpg;7;0.9257432818412781;0.9614399671554565
170;01bb07c7d.jpg;8;1.0;1.0
171;01de1273b.jpg;0;1.0;1.0
172;01de1273b.jpg;1;1.0;1.0
173;01de1273b.jpg;2;1.0;1.0
174;01de1273b.jpg;3;1.0;1.0
175;01de1273b.jpg;4;0.7469915747642517;0.8551747798919678
176;01de1273b.jpg;5;1.0;1.0
177;01de1273b.jpg;6;0.8983336687088013;0.9464444518089294
178;01de1273b.jpg;7;1.0;1.0
179;01de1273b.jpg;8;1.0;1.0
180;01e8037b5.jpg;0;1.0;1.0
181;01e8037b5.jpg;1;1.0;1.0
182;01e8037b5.jpg;2;1.0;1.0
183;01e8037b5.jpg;3;1.0;1.0
184;01e8037b5.jpg;4;0.4285714328289032;0.6000000238418579
185;01e8037b5.jpg;5;1.0;1.0
186;01e8037b5.jpg;6;3.7037032996067865e-08;3.7037032996067865e-08
187;01e8037b5.jpg;7;1.0;1.0
188;01e8037b5.jpg;8;1.0;1.0
189;0200612e9.jpg;0;1.0;1.0
190;0200612e9.jpg;1;1.0;1.0
191;0200612e9.jpg;2;1.0;1.0
192;0200612e9.jpg;3;1.0;1.0
193;0200612e9.jpg;4;1.0;1.0
194;0200612e9.jpg;5;1.0;1.0
195;0200612e9.jpg;6;1.0;1.0
196;0200612e9.jpg;7;0.8952311277389526;0.9447197318077087
197;0200612e9.jpg;8;0.6382694244384766;0.7791995406150818
198;0213b298f.jpg;0;1.0;1.0
199;0213b298f.jpg;1;1.0;1.0
200;0213b298f.jpg;2;1.6666663782416435e-07;1.6666663782416435e-07
201;0213b298f.jpg;3;1.0;1.0
202;0213b298f.jpg;4;1.0;1.0
203;0213b298f.jpg;5;1.0;1.0
204;0213b298f.jpg;6;1.0;1.0
205;0213b298f.jpg;7;1.0638298242326982e-08;1.0638298242326982e-08
206;0213b298f.jpg;8;1.0;1.0
207;0241f860a.jpg;0;1.0;1.0
208;0241f860a.jpg;1;1.0;1.0
209;0241f860a.jpg;2;1.0;1.0
210;0241f860a.jpg;3;4.975124312522894e-09;4.975124312522894e-09
211;0241f860a.jpg;4;2.1645021330840564e-09;2.1645021330840564e-09
212;0241f860a.jpg;5;1.0;1.0
213;0241f860a.jpg;6;9.090908292819222e-08;9.090908292819222e-08
214;0241f860a.jpg;7;6.493506621296774e-09;6.493506621296774e-09
215;0241f860a.jpg;8;0.7833333611488342;0.8785046935081482
216;0259de307.jpg;0;0.8181818127632141;0.8999999761581421
217;0259de307.jpg;1;0.8136363625526428;0.897243082523346
218;0259de307.jpg;2;0.852838933467865;0.9205753803253174
219;0259de307.jpg;3;5.485463749899111e-10;5.485463749899111e-10
220;0259de307.jpg;4;2.398081511145733e-09;2.398081511145733e-09
221;0259de307.jpg;5;4.329004266168113e-09;4.329004266168113e-09
222;0259de307.jpg;6;1.0;1.0
223;0259de307.jpg;7;1.0;1.0
224;0259de307.jpg;8;1.3831258360852416e-09;1.3831258360852416e-09
225;025baec78.jpg;0;0.7936333417892456;0.8849449157714844
226;025baec78.jpg;1;1.0;1.0
227;025baec78.jpg;2;0.7088926434516907;0.8296514749526978
228;025baec78.jpg;3;0.6800479292869568;0.8095577955245972
229;025baec78.jpg;4;0.5010141730308533;0.6675675511360168
230;025baec78.jpg;5;0.6370449662208557;0.7782864570617676
231;025baec78.jpg;6;0.6892617344856262;0.8160508275032043
232;025baec78.jpg;7;0.7225481867790222;0.8389294147491455
233;025baec78.jpg;8;0.773777186870575;0.8724626302719116
234;02766c52b.jpg;0;1.0;1.0
235;02766c52b.jpg;1;0.5337423086166382;0.6959999799728394
236;02766c52b.jpg;2;1.0;1.0
237;02766c52b.jpg;3;1.9011405782976e-09;1.9011405782976e-09
